id,question,correctanswer,answera,answerb,answerc,answerd
101326,what would warm air mass over ocean most likely cause?,d,earthquake,snowfall,tsunami,rainfall
101327,which following shows levels organization multicellular organism from least most complex?,d,cells-tissues-systems-organs,organs-cells-systems-tissues,systems organs-tissues-cells,cells-tissues-organs-systems
101328,which following an example an environmental condition that directly contributes species extinction?,c,introduction humans,addition new food sources,loss habitat,migration new regions
101329,which layers earth are mostly made solid material?,b,inner core outer core,crust inner core,crust mantle,mantle outer core
101330,in fruit flies red eyes are dominant over sepia eyes. a male with red eyes crossed with female with sepia eyes producing first generation offspring that all had sepia eyes. what does this indicate about flies that were crossed?,c,both parents are homozygous trait.,both parents are heterozygous trait.,the male heterozygous female homozygous recessive trait.,the male homozygous dominant female heterozygous trait.
101331,which type rock formed when limestone subjected heat pressure?,c,sandstone,basalt,marble,granite
101332,male peacocks have large brightly colored tail feathers. what most likely reason this?,a, attract potential mates, distract potential predators, help catch food, preserve warmth
101333,which following major difference between umbilicus placenta?,c, umbilicus delivers nutrients developing fetus placenta transfers wastes mother, umbilicus transfers wastes mother placenta delivers nutrients developing fetus, umbilicus located on developing fetus placenta located mother's uterus, umbilicus located mother's uterus placenta located on developing fetus
101334,which process water cycle would accelerated by an increase temperature?,b,runoff,evaporation,precipitation,condensation
101335,the thin semi-permeable membrane that encloses cell allows nutrients enter wastes ,d,digested.,recycled.,protected.,excreted.
101336,when you see color red on stop sign you are really seeing,c, exact color stop sign.,multiple colors blending into one.,how light interacted with sign.,your mind filtering out other colors.
101337,a recent scientific study funded by medical corporation concluded that its product not as harmful as consumers have reported. identify possible problem with this study.,b,corporate scientists have less training than other scientists.,the results study may influenced by bias.,privately funded science not verified by other scientists.,the study cannot repeated with same results.
101338,which following best describes order processes sedimentary rock cycle?,a,weathering -> transportation -> deposition -> lithification,weathering -> deposition -> transportation -> lithification,lithification -> deposition -> transportation -> weathering,weathering -> transportation -> lithification -> deposition
101339,in which layer sun does nuclear fusion occur?,a,core,radiative zone,convection zone,chromosphere
101340,if ball at rest not acted upon by any force its motion will,d,increase acceleration.,decrease acceleration.,change direction.,not change.
101341,which body system most affected by disease that causes bones become weak brittle?,c,excretory,muscular,skeletal,nervous
101342,the milky way galaxy visible as bright region night sky. modern telescopic observation has made it possible discover that brightness milky way galaxy due primarily which structure?,b,clouds hot gas,large numbers stars,high energy compounds,extremely reflective ice particles
101343,a(n) __________ sequence nucleotides on mrna that tells ribosome end amino acid sequence release new protein.,c,exon,repressor protein,stop codon,operon
101344,which these cell structures converts nutrients energy cell functions?,c,cell membrane,chloroplasts,mitochondria,endoplasmic reticulum
101345,sugar composed carbon hydrogen oxygen. sugar an example which following?,b,an atom, compound,an electron, mixture
101346,direct observation has shown moon's composition overall similar earth's mantle. this similarity has been interpreted as supporting which theory?,d,the moon formed from same material as outer planets.,the moon formed by capture large asteroid from asteroid belt.,the moon formed by splitting off from an earthlike planet similar solar system.,the moon formed from material ejected during collision early earth with another planet.
101347,a scientist doing an investigation on effects fluoride on tooth enamel. in doing this any other scientific investigation which would most important scientist do maintain credibility?,a,allow results verified by other scientists,allow results published scientific journals,conduct investigation under supervision high-ranking scientists,conduct investigation on university campus have access equipment
101348,what happens when an enzyme loses its shape?,b,nothing it will function as normal,it becomes nonfunctional,it will reconfigure perform normally,it takes role another protein performs that protein's task
101349,scientists have been able propose theories about how major geological features like grand canyon form because they assume that geological processes today occur __________.,a,similar processes past,more quickly than processes past,slower than processes past,with fewer unconformities than processes past
101350,the spectrum visible light can seen rainbow because white light ,b,reflected transmitted.,refracted dispersed.,absorbed diffracted.,produced emitted.
101351,researchers are developing new types crop plants with desirable characteristics such as disease resistance drought tolerance. crossing plants so that next generation will express desirable traits best described as,a,selective breeding.,natural selection.,genetic engineering.,gene sequencing.
101352,a student asked compare general characteristics red star blue star. what factual statement can student make based solely on color two stars?,a,the blue star hotter than red star.,the blue star smaller than red star.,the red star farther from earth than blue star.,the red star has greater apparent magnitude than blue star.
101353,the composition soil influences soil's ability retain transmit water air. what soil type would best planting productive garden?,b,sandy soils because they provide high silica content.,loamy soils because they contain sand clay.,slightly rocky soils because they provide needed minerals.,clay soils because they are heavy soils retain water.
101354,when meteorite found on earth's surface how do scientists determine meteorite's age?,c,solar dating,geometric dating,radiometric dating,silicate mineral dating
101355,jake testing how light affects plant growth. he grows two plants identical pots with same amount water fertilizer. jake grows one plants sun other shade. which part jake's process indicates that there control this investigation?,c,he growing plants identical pots.,he using same amount water.,he growing one plant out sun.,he using same amount fertilizer.
101356,which two activities use most water used an average u.s. household?,a,flushing toilets washing clothes,washing clothes using sink faucets,using sink faucets showering,showering flushing toilets
101357,which following best describes one reason heat from sun reaches earth?,a,the sun closest star earth.,the sun closest planet earth.,the sun bigger than any other star space.,the sun only star that gives off heat light.
101358,to help it survive an organism has capsule endospore pili. to which group does this organism belong?,a,bacteria,mollusk,insect,reptile
101359,which step will most likely ensure that results an investigation are valid?,c,using computer graph results,verifying that results match original hypothesis,comparing results with those other scientists,eliminating any results that appear abnormal
101360,scientists use relative dating determine an estimate ages sedimentary rocks based on information they know about rock cycle.which following statements correct?,b,the youngest rocks are found on bottom layers while older rocks are found on top layers.,the oldest rocks are found on bottom layers while youngest rocks are found on top layers.,the youngest rocks are found center layers while oldest rocks are found surrounding layers.,the oldest rocks are found center layers while youngest rocks are found surrounding layers.
101361,a structure that found plant cells but not animal cells __________.,b,cell membrane,cell wall,nucleus,cytoplasm
101362,the weathering landforms depends on various factors. which area would most likely have fastest rate chemical weathering?,b,freezing dry regions,warm moist regions,cool humid regions,hot dry regions
101363,an object floating without any gravitational force acting upon it will have,a,mass but not weight.,weight but not mass.,mass but not volume.,volume but not mass.
101364,because velocity requires both magnitude value direction it considered (n) __________.,b,measurable quantity,vector quantity,immeasurable quantity,distance quantity
101365,why do doctors suggest that people get flu vaccine each year?,b,viruses replicate more rapidly over time.,viruses can mutate from year year.,vaccines are absorbed by body after year.,vaccines get stronger over time.
101366,which following planets composed primarily hydrogen helium?,b,mercury,jupiter,mars,venus
101367,which celestial object listed below has greatest density?,d, planet, comet, nebula, neutron star
101368,scientists observed ice as component comets. this observation reinforced which model history our solar system?,b,most planets our solar system originally had water oceans.,comets delivered some water found earth's oceans.,solar system planetary cores are generally mix iron water.,most water our solar system migrated comets over time.
101369,wind becoming more common as source energy. wind farms require large open spaces wind turbines. a negative consequence this technology wind turbines,c,are an inexpensive source energy.,cause little pollution environment.,may hurt flying animals area.,are renewable source energy.
101370,which process that converts sunlight energy into compound that stores chemical energy?,b,phototropism,photosynthesis,respiration,pollination
101371,a student given liquid compound beaker. which following best way describe this liquid compound?,d,definite shape indefinite volume,indefinite shape indefinite volume,definite shape definite volume,indefinite shape definite volume
101372,which these tectonic event that most likely contribute formation sedimentary basin?,c,erosion material from around hardened neck an ancient volcano,exposure clastic rocks intense levels heat pressure,divergence two crustal plates forming long rift,convergence two continental plates
101373,the bonding oxygen red blood cells important body because it enables body ,d,absorb nutrients from food.,make energy from light.,maintain constant temperature.,perform aerobic respiration cells.
101374,in solar system moons orbit planets. which these do planets orbit?,a, sun,halley's comet, asteroid belt, black hole
101375,which these most common result greenhouse gases altering atmosphere earth?,a,an increase air temperature, decrease air density,an increase intensity visible light, decrease thickness ozone layer
101376,which human organ system primarily exchanges gases between body atmosphere?,d,excretory,nervous,skeletal,respiratory
101377,landscapers frequently plant grass on steep hills yards new housing developments. which statement best explains how grass can help conserve soil?,c,the grass provides shade so soil stays cool.,the grass attracts insects that enrich soil by laying eggs.,the roots grass spread out hold topsoil place.,the roots grass protect soil from effects acid rain.
101378,what should scientist do help make sure results an experiment are unbiased?,d,keep results secret.,do math without calculator.,change all variables experiment.,ask other scientists attempt reproduce results.
101379,a process occurs star that converts matter into energy. which these describes process that includes conversion matter into energy?,b,atoms split decreasing average size atomic nuclei.,atoms fuse increasing average size atomic nuclei.,atoms release electrons form positive ions.,atoms acquire electrons form negative ions.
101380,which these main contributor formation hurricanes?,b,high barometric pressure,warm ocean air,calm ocean surface,dense surface air
101381,students are investigating whether ants are more attracted sugar than salt. a bowl sugar bowl salt are placed same distance from colony ants. the students will observe which substance ants eat first. which statement an appropriate hypothesis this investigation?,b,because salt was used ants ate sugar instead.,if ants prefer sugar they will eat sugar before eating salt.,because ants ate sugar before eating salt they must like sugar.,if sugar placed near ant colony ants will eat it before eating salt.
101382,the process digestion breaks down proteins into smaller molecules that are used rebuild other proteins. during digestion proteins undergo,d,cell division.,nuclear reactions.,natural selection.,chemical changes.
101383,which factor best explains how many diseases such as cancer are formed within body?,b,a traumatic injury body has occurred.,a disruption cell cycle has taken place.,a response by immune system was triggered by an allergic reaction.,a mutation occurred during process crossing over.
101384,scientists observed that shells some marine bivalves are more vulnerable chemical physical damage than others. how could these differences affect accuracy fossil record?,d,by reducing likelihood that transition fossils will survive,by allowing fossil characteristics change during fossilization,by increasing total number bivalve fossils available study,by affecting proportions which different species' fossils survive
101385,the law that states that atoms do not appear disappear chemical reactions law __________.,c,conservation energy,atom stability,conservation matter,balancing equations
101386,the function mitochondria __________.,b,store dna,make energy cell,make proteins,store water other nutrients
101387,it might difficult determine inherited eye color baby based on her mother father's eye color because __________.,c, color baby's eyes tends change over time, baby may inherit either mother's father's dna,eye color determined by several genes,genes eye color come from grandparents not from mother's father's genes
101388,dr. garcia gave each six groups students beaker filled with 100- ml sample fluid. he asked his students identify fluid by measuring its temperature when it started boil. the students were given thermometer hot plate necessary safety equipment. each groups came up with its own results. which these would students have perform replicate results?,b,average boiling point results all six groups,show similar results by testing samples again,compare amount liquid each beaker,make sure safety equipment was cleaned
101389,in order distinguish fact from opinion conclusions experiments should ,c,recorded on computer.,presented bar graphs.,based on verifiable data.,organized table.
101390,during its lifetime which object known change brightness color temperature?,a,star,moon,asteroid,planet
101391,humans cannot survive without clean fresh water. reservoirs liquid water vary but all water spends time as gas atmosphere. what source most water atmosphere?,b,lakes,oceans,rivers,glaciers
101392,different species carnivorous animals that share same habitat an ecosystem may,b,become decomposers,compete food,produce own food,mate with each other
101393,earthworms move randomly throughout topsoil. how do earthworms most likely affect topsoil?,c,by compacting topsoil,by decreasing fertility topsoil,by adding nutrients topsoil,by removing minerals from topsoil
101394,most mountains on earth occur huge ranges stretching thousands miles. which event most likely cause formation these mountain ranges?,d,erosion rocks,violent earthquakes,volcanic eruption,movement plates
101395,conversion nitrogen gas atmosphere ammonia by bacteria ,d,ammonification.,assimilation.,denitrification.,nitrogen fixation.
101396,the peripheral nervous system composed all neurons __________.,c,that are sensory function, brain spinal cord,outside brain spinal cord,inside cerebellum brain stem
101397,water very important part physical weathering rock. which these properties water most important causing some physical weathering rock?,c,water liquid at room temperature.,water can contain different minerals.,water expands when it freezes.,water dissolves many chemicals.
101398,an agricultural scientist george washington carver most famous his research on,b,tobacco.,peanuts.,mold.,corn.
101399,when sugar heated on hot plate it turns into liquid. when liquid sugar cooled hard-crystalline substance formed. this model best demonstrates formation ,b,molten rocks.,igneous rocks.,sedimentary rocks.,metamorphic rocks.
101400,during which phase change heat energy absorbed by substance?,a,liquid gas,gas solid,liquid solid,gas liquid
101401,when doctor prescribes antibiotics fight infection which following would cause infection?,b,viruses,bacteria,hiv, flu
101402,which change increases rate chemical reaction?,a,increasing reaction temperature,using larger particles solid reactants,reducing concentration reactants,adding an inhibitor reaction mixture
101403,a student wants cross parent mice produce offspring with black fur offspring with white fur. if black fur color (b) dominant white fur (b) what should genotypes parent mice?,d,bb bb,bb bb,bb bb,bb bb
101404,nerve cells transmitting messages body best demonstrate which primary function?,a, transfer energy, exchange gases, elimination waste, absorption nutrients
101405,which following an example an element commonly found both living organisms non-living things?,a,carbon,dna,water molecules,cells
101406,when an object placed fluid fluid exerts an upward force that called which following choices?,b,applied force,buoyant force,normal force,tension force
101407,when first american astronauts were planning walk on moon they knew that gravity on moon was less than gravity on earth. with this information what did astronauts expect most different on moon?,c, mass, height, weight, volume
101408,a group students are researching changes climate region. which these would best provide evidence changes temperature rainfall over period years?,a,tree rings,pollen samples,harvest production,carbon dating
101409,which an example primary ecological succession?,d,plants animals invading an abandoned crop field,mangroves stabilizing soils on tropical coasts,minerals spurring rapid plant growth,lichen growth on rocks
101410,which following an example properly communicating step science investigation?,d,pour little bit water into 5 grams baking soda.,measure out 20 ml water pour it into pinch baking soda.,put some water baking soda.,measure out 20 ml water pour it into 5 grams baking soda.
101411,what unit do scientists use measure distance between stars?,a,light-year,angstrom unit,astronomical unit,apparent magnitude
101412,many cars are equipped with catalytic converter device that helps remove hydrocarbons oxides from car exhaust. as result this device helps ,b,increase production ozone.,decrease production smog.,increase emission nitrogen.,decrease emission carbon dioxide.
101413,plants can break large rocks into tiny pieces. how it possible plants able mechanically weather rocks by breaking them into smaller pieces?,a,the roots plant grow into cracks rock forcing them break.,the plant absorbs all water from soil leaving rocks dry brittle.,the plant wraps itself around rock forces it crumble.,the acidity plant forms new types smaller rocks.
101414,which these best example an interaction between digestive endocrine reproductive systems?,c,low levels insulin stimulate hormone increases decrease nutrient absorption.,digested food provides building blocks making insulin pepsin cell insulation.,amino acids absorbed into circulatory system produce hormones increase gamete production.,hormones circulatory system cause thickening stomach wall increase nutrient absorption.
101415,asexual reproduction leads genetic similarity among offspring because,c,there are fewer mutations organisms that reproduce asexually.,there are more mutations organisms that reproduce asexually.,one parent contributes all genetic information offspring.,both parents contribute genetic information offspring.
101416,the mitochondria cell release __________.,d,proteins,dna,rna,energy
101417,which following helps produce urine humans other mammals?,c,bladder,urethra,kidneys,ureter
101418,how do mass size nucleus an atom compare mass size an entire atom?,a,the masses are similar but nucleus much smaller.,the volumes are similar but nucleus has much less mass.,the masses are similar but nucleus much larger.,the volumes are similar but nucleus has much more mass.
101419,which energy resource non-renewable?,a,oil,solar,water,wind
101420,a substance made up two more elements that have been chemically combined called __________.,a, compound,an atom, mixture, solution
101421,in tug--war game balanced forces are best represented when both teams cause flag ,a,stay middle.,fall ground.,move slowly one direction., pulled quickly one direction.
101422,what role does centromere play cellular reproduction?,d,it area where microtubules are formed.,it area where nucleus during cell division.,it area alignment chromosomes.,it area attachment chromatids.
101423,which force keeps planets orbits around sun?,a,gravity,magnetism,electricity,friction
101424,the primary source energy nearly all life sun. which best describes how green plants utilize this energy?,a,green plants convert radiant energy compounds into food.,green plants convert thermal energy into organic compounds.,green plants use electromagnetic energy release heat.,green plants use mechanical energy release water.
101425,the distance between sun next closest star proxima centauri most accurately measured ,b,magnitudes.,light years.,perigees.,red shifts.
101426,where are proteins synthesized?,b,mitochondria,ribosomes,centrioles,lysosomes
101427,a plant produces tiny plants around edges its leaves. when these tiny plants fall ground they take root become new plants. this process an example ,b,sexual reproduction,asexual reproduction,evolution,extinction
101428,in which these investigations would pictures from camera most useful?,c,studying bird calls,studying exothermic reactions,studying growth plants,studying diffusion molecules
101429,students are conducting lab investigation. which these procedures would best ensure that all data collected are reliable?,a,record all data as soon as they are collected,use only data that support conclusion,eliminate data that conflict with hypothesis,perform only single trial avoid conflicting data
101430,elements same column periodic table elements all,c,have same number protons.,share same atomic structure.,have similar physical characteristics.,share same number neutrons.
101431,when constructing graph data from scientific investigation independent variable usually placed,c,with title at top.,on side graph.,on x-axis graph.,on y-axis graph.
101432,dr. tanaka discovered new virus. the virus has single strand nucleic acid but she does not know if it dna rna. after running tests she concludes that it dna. which following would lead her that conclusion?,c,it contains uracil.,it contains adenine.,it contains thymine.,it contains cytosine.
101433,field mice are primary food source horned owls an area. due drought many field mice left area. which result would this drought most likely have on horned owls?,b,the horned owl population will consume more field mice.,horned owls will follow field mice different area.,the horned owl population will increase area.,horned owls will change plant-based diet.
101434,black bears white-tailed deer are sometimes found same habitat but they occupy different niches. which best explains difference between habitat niche?,c,habitat where animal finds food but niche describes its physical characteristics.,habitat where animal hibernates but niche determines how well it competes.,habitat where animal lives but niche defines its role ecosystem.,habitat where animal sleeps but niche explains how it defends itself.
101435,snow that falls sierra nevada major source __________ water supply.,d,nevada's,colorado's,arizona's,california's
101436,during plant reproduction what structure enlarges become fruit?,b,seed,ovary,ovule,embryo
101437,which two factors contribute an increase population size?,b,birth rate emigration rate,birth rate immigration rate,death rate emigration rate,death rate immigration rate
101438,sickle cell anemia genetic disease caused by an autosomal recessive gene. if each parent carries one sickle cell allele what are chances that child will have sickle cell anemia?,b,no chance,one four,two four,three four
101439,students finished laboratory experiment using chemicals. the students made sure they safely disposed chemicals because they,d,poured chemicals down sink drain.,placed chemicals carefully trash can.,placed each chemical back its original container.,followed directions provided by teacher each chemical.
101440,the great basin nevada characterized by uplifted tilted blocks forming mountain ranges downthrown blocks forming basins. what rock type most likely form basins?,b,metamorphic,sedimentary,intrusive igneous,extrusive igneous
101441,multicellular organisms grow size by producing more,a,cells.,organs.,heart muscle.,chlorophyll.
101442,scientists have found that high temperatures lack rainfall can result sharp decline number fish lake. this most likely an example what process?,b,abiotic factors increasing runoff pollution,abiotic factors decreasing availability resources,biotic factors increasing salt content water resources,biotic factors contributing decline amount plant life
101443,which these indicates physical change that occurs during process digestion?,d, addition acids create ball food, secretion pepsin change proteins peptides, breakdown food substances by digestive juices, squeezing food through intestines
101444,which best explains importance nitrogen cycling energy matter?,a,nitrogen increases protein production plants.,nitrogen decreases protein production plants.,nitrogen decreases effectiveness photosynthesis.,nitrogen increases effectiveness photosynthesis.
101445,minerals can identified using hardness streak cleavage because,d,minerals are inorganic.,crystal structure too hard determine.,crystal size determined by environment.,minerals have different recognizable properties.
101446,the process by which an egg sperm fuse form zygote called __________.,a,fertilization,binary fission,nondisjunction,mitosis
101447,an important rule students know when heating test tube ,b,place cork mouth test tube.,point mouth test tube away from others.,hold test tube loosely with fingertips.,shake test tube forcefully keep contents mixed.
101448,deer eat different types plants an ecosystem. which method would best show percentages plant types deer diet?,a,pie chart,bar graph,line graph,scatterplot
101449,a flock 30 canada geese were migrating from western canada central america. a storm blew flock off course geese landed on pacific island. as population adapted island geese lost ability fly. after 100 generations geese were ground-dwelling birds that nested on rocky ledges.which conclusion based on this information?,a,random changes gene frequency lead loss particular alleles.,specific changes genetic variation increase number young produced.,random interchanges alleles between individuals produce heterozygous offspring.,specific interchanges within gene composition somatic cells lead loss function.
101450,according periodic table all following are metals except -,c,sodium,zinc,fluorine,calcium
101451,a student designs an experiment test effect different acidic solutions on growth tomato plants. over two-week period five tomato plants are placed separate containers tested. which action necessary produce valid results?,c,each plant must seedling when beginning investigation.,each plant must receive mixture different solutions.,the soil must come from same source.,the tomato plants must different species.
101452,in 2006 parts florida experienced brush fires. the fires affected 54 67 counties florida. what will most likely happen scorched land?,c,the land will undergo primary succession when lichens reestablish habitat.,the land will lie bare until new species migrate into changed landscape.,the land will restored previous community organisms.,the land will converted extensive agricultural use.
101453,what significant about discovery water on mars?,b,it proves there life on mars.,it provides evidence there may life on mars.,it proves there was an advanced civilization on mars.,it provides evidence an advanced civilization on mars.
101454,magma wells up forms ridge down middle atlantic ocean creating new seafloor that slowly spreads out east west ridge. this evidence which following theories?,a,earth's crust made up rocky plates that move over time.,earthquakes result from periodic disturbances along fault lines.,convection currents mantle are cause volcanic activity.,magma cooling at surface earth forms type igneous rock.
101455,the process which substances enter cell without use energy called __________.,a,passive transport,active transport,exocytosis,endocytosis
101456,most sedimentary rock made from sediments other rock. which these processes would sediments most likely go through form sedimentary rock?,a,compaction cementation,folding recrystallization,melting solidifying,heating pressure
101457,of examples listed which event thought by scientists have led greatest extinction?,c, volcano hawaii erupting, construction hoover dam,whalers 17th 18th 19th centuries, mississippi river flooding its banks each summer
101458,a french mathematician once said science facts; just as houses are made stone so science made facts; but pile stones not house collection facts not necessarily science. which significance does quote place on action that scientists should take when they discover new information that contrary old information?,d,the new information should presented as theory.,the new information should replace old information.,the new information should immediately shared with public.,the new information should presented public an organized manner.
101459,dna's structure made up free floating nucleotides bonded together form double helix. the backbone dna strand made up __________.,b,sugar phosphate group nitrogenous base,sugar phosphate group,nitrogenous base sugar,phosphate group nitrogenous base
101460,which geologic feature most likely forms when an oceanic tectonic plate slowly subducted beneath continental tectonic plate?,a,ocean trench,mid-ocean ridge,continental hot spot,continental rift valley
101461,in process photosynthesis sunlight converted into,a,chemical energy.,nuclear energy.,mechanical energy.,kinetic energy.
101462,paul karen were studying physical chemical properties matter. they determined that mass sample was 50 grams. which sentence best states how mass describes matter?,a,the mass substance way measure amount matter it contains.,mass way measure force gravity on substance.,the mass substance may change based on its location.,mass chemical property substance.
101463,which these describes small range electromagnetic spectrum?,d,gravity,radiation,electricity,light
101464,juvenile diabetes disease caused by body's inability create insulin. the body's white blood cells attack pancreatic cells that produce insulin. this type disease known as,d, cardiovascular disease.,an infectious disease., digestive system disease.,an autoimmune disease.
101465,organic compounds are molecules that contain carbon-hydrogen bonds are often found living organisms. which following considered an organic compound?,a,ribonucleic acid,water,carbon dioxide,hydrogen sulfide
101466,which metalloid used solar cells computer chips?,a,silicon,silver,arsenic,antimony
101467,acid rain caused by industrial pollution greatly reduces number trees forested region that home particular species bird. how might this decrease number trees most likely affect this bird population?,b,the population will adapt ground dwelling.,the population will decrease due lack resources.,the population will stabilize when it moves another region.,the population will increase as predators move out region.
101468,while collecting wildflowers student begins sneeze has itchy watery eyes. what bodily system causes this reaction?,a,immune,nervous,muscular,circulatory
101469,which statement best description milky way galaxy?,d, collection gases held together by inertia, group planets revolving around single star, collection stars gases with sun as its center, group stars dust planets held together by gravity
101470,lipids are made from which precursors?,b,sugars,glycerol,amino acids,nucleotides
101471,what an environmental threat posed by oil gas acquisition transport that not posed by acquisition transport energy resources uranium wood?,c,habitat change,vehicle pollution,pipeline leaks,soil compaction loss
101472,motion towards away right left up down from origin are all ways describing an object's __________.,d,position,speed,velocity,direction
101473,a scientist discovers new product that repels fleas. she performs an investigation test product on dogs that have fleas. she repeats investigation several times but each time has different results. what should she do next?,c,she should prevent other scientists from experimenting with new product.,she should change data her records get results she had anticipated.,she should examine her records analyze variables each investigation.,she should stop research on new product since consistent results are not occurring.
101474,descendent organisms can look very different from ancestor organisms because,b,organisms change drastically during mass extinctions., small differences that accumulate over generations.,ancestor organisms have much more genetic information.,descendents are more advanced than ancestors.
101475,which following most likely cause decrease biodiversity?,d,an immigration species from another ecosystem, decrease total population an ecosystem,an increase total population an ecosystem, species extinction ecosystem due climate change
101476,the burning fossil fuels has added pollutants that contain sulfur atoms air. these pollutants have contributed which following?,b,drought,acid rain,tornadoes,temperature inversions
101477,deforestation rainforest can lead localized extinctions populations some organisms. once an area deforested which most likely decrease result organisms' extinctions?,d, amount annual rainfall,competition between consumers, energy available producers,diversity resources habitat
101478,which following statements applies all states matter?,d,matter takes shape its container.,matter made up particles that are stationary.,matter consists tightly packed particles.,matter made up particles called atoms.
101479,sulfur scrubbers are devices installed coal-fired power plants. sulfur scrubbers reduce emission sulfur dioxide. what environmental problem are sulfur scrubbers most likely trying address?,c,ozone,erosion,acid rain,nutrient runoff
101480,a student touched computer that had been operating an hour. the computer felt warm because,c,friction within computer turned mechanical energy into heat., computer's fan converted potential energy kinetic energy.,electricity running through computer was partly transformed into heat., computer used heat as source energy.
101481,the conclusions drawn from scientific investigation are based on evidence collected from,c, hypothesis.,other investigations., data received.,prior knowledge.
101482,plants that have similar internal transport systems which contain xylem phloem all have large degree evolutionary relatedness. these plants are known as __________.,a,vascular plants,non-vascular plants,primary consumers,algae
101483,which characteristic best example an inherited trait?,a,eye color,an infection,knowledge soccer,length hair
101484,when entire species mole-rats genetically altered over time growing larger teeth longer claws species as whole __________.,b,adapted,evolved,mutated,emigrated
101485,why it that an endothermic reaction like reaction between chemicals cold pack often feels cool touch?,d, chemical reaction has changed from exothermic endothermic,activating cold pack lowers freezing point chemicals,cool energy being released from chemical reaction,heat energy being absorbed by chemical reaction
101486,which these are broken down during chemical but not physical changes?,d,elements,mixtures,solutions,compounds
101487,the presence which following geological features provides best evidence that glaciers once covered an area?,b,wide riverbeds,u-shaped valleys,underground caves,groundwater springs
101488,which statement best explains why viruses can only reproduce within host?,d,viruses lack genes necessary transcription.,viruses need host dna necessary replicate.,viruses need host cell break down cell membranes.,viruses lack ribosomes necessary make own proteins.
101489,which invention made mass production possible?,a, assembly line, airplane, personal computer, telephone
101490,which these found all organisms?,a, cell, tissue,an organ,an organ system
101491,chinese european societies can use different but effective technologies when addressing medical questions. what does this demonstrate?,a,varied approaches can yield successful technologies.,not all technologies behave according scientific laws.,the development science technology are independent.,technology results more from practice than from scientific knowledge.
101492,a teacher asks her students examine titles four scientific articles. which titled article specifically about chemical change?,a,how baking soda reacts with vinegar,how rust can be scraped off metal,how metals respond electrical currents,how elements can change phase when heated
101493,what does all landmass located on equator have common?,c,volcanoes,cold temperatures,warm temperatures,large deserts
101494,charles darwin made famous observations finches on islands pacific ocean. the birds were believed have come all from one population but when separated on islands with differing habitats birds changed. the beaks birds on islands with lots seeds were different from beaks birds on islands with lots insects. how did beaks come match food environments so well?,d,the birds migrated island with right food supply beaks.,the food supply on islands changed match birds' beaks.,the predators on islands eliminated birds with wrong beaks.,the birds with right beaks food supply had more young.
101495,if one were compare typical cell city which part city would nucleus most similar?,b, power plant, library, workers, waste management
101496,stars exist due balance formed between __________.,d,inward force from pull gravity outward pressure chemical reactions,inward force from nuclear fusion outward pressure gravity,inward force from chemical reactions outward pressure from nuclear fusion,inward force from pull gravity outward pressure from nuclear fusion
101497,whenever direction magnitude an object's motion suddenly changes it must have been?,c,pushed another direction,pulled another direction,acted on by force,slowed down
101498,which statement best explains why natural selection acts on an organism's phenotype rather than on its genotype?,b,more than one phenotype can result from same genotype.,more than one genotype can result same phenotype.,both homozygous genotypes result same phenotype.,only heterozygous phenotypes result from same genotype.
101499,which these directly formed as result weathering erosion?,b,crystals,sediments,igneous rocks,metamorphic rocks
101500,which these provides most oxygen earth's atmosphere?,c,coral reefs,rainforest plants,ocean phytoplankton,continental grasslands
101501,dimitri mendeleev first organized elements into periodic table 1869. henry moseley later conducted research that led him modify mendeleev's table. the modern periodic table based on moseley's modifications. what does this illustrate about scientific knowledge?,a,it may change based on new observations experimentations.,it can vary based on public opinion government policy.,it based on facts that do not change over time.,it more often rejected than changed.
101502,which these events have most influence on regional climate?,b,frequent tornadoes,ocean trade winds,winter snowstorms,temperature inversions
101503,a student wants use stream table test influence water acidity on erosion rate stream. which variable should constant this experiment?,a,angle tilt table,acidity water,amount sediment eroded,rate that sediment eroded
101504,what disadvantage having lower oil gas prices united states?,b,there will more research development alternative fuel sources.,fuel used more frequently resulting increased air pollution.,less drilling needed meet public demands.,more fuel-efficient automobiles will used.
101505,a single gene an organism always affects __________.,c,its corresponding trait,multiple traits, single trait multiple traits depending on gene,only physical appearance organism
101506,when large oak tree cut down forest it leaves gap forest canopy which allows smaller trees quickly grow available sunlight. which interaction best represented among smaller trees?,c,parasitism,mutualism,competition,commensalism
101507,a patient visits doctor checkup diagnosed with skin cancer. which following most likely cause this disease?,b,poor eating sleeping habits,exposure ultraviolet rays, defect person's immune system,working with plants animals
101508,in lab investigation student notes that two metal blocks have same mass. based on this observation if two blocks were put on opposite sides balance they would best represent,a,balanced forces.,unbalanced forces.,equal opposite reactions.,objects motion.
101509,students studying rocks notice that particular location there are many igneous rocks that are very similar. this observation best supports which statement?,d,a nearby volcano tall.,a nearby volcano inactive.,a nearby volcano about erupt.,a nearby volcano had once been active.
101510,the main function human digestive system ,a,break down foods absorption into blood,exchange oxygen carbon dioxide lungs,release energy from sugars within cells,carry nutrients all parts body
101511,farmers use fertilizer on crops increase crop yield. how does fertilizer affect plants animals nearby lakes streams?,b,fertilizer directly kills fish plant life lakes streams.,fertilizer leads growth oxygen-depleting organisms.,fertilizer that becomes airborne pollutes air around aquatic plants.,fertilizer improves crops which draws animals away from lakes streams.
